Start	Message	"Learning Time (tl)"[Alabama]	"Learning Time (tl)"[Alaska]	"Learning Time (tl)"[Arizona]	"Learning Time (tl)"[Arkansas]	"Learning Time (tl)"[California]	"Learning Time (tl)"[Colorado]	"Learning Time (tl)"[Connecticut]	"Learning Time (tl)"[District of Columbia]	"Learning Time (tl)"[Delaware]	"Learning Time (tl)"[Florida]	"Learning Time (tl)"[Georgia]	"Learning Time (tl)"[Hawaii]	"Learning Time (tl)"[Idaho]	"Learning Time (tl)"[Illinois]	"Learning Time (tl)"[Indiana]	"Learning Time (tl)"[Iowa]	"Learning Time (tl)"[Kansas]	"Learning Time (tl)"[Kentucky]	"Learning Time (tl)"[Louisiana]	"Learning Time (tl)"[Maine]	"Learning Time (tl)"[Maryland]	"Learning Time (tl)"[Massachusetts]	"Learning Time (tl)"[Michigan]	"Learning Time (tl)"[Minnesota]	"Learning Time (tl)"[Mississippi]	"Learning Time (tl)"[Missouri]	"Learning Time (tl)"[Montana]	"Learning Time (tl)"[Nebraska]	"Learning Time (tl)"[Nevada]	"Learning Time (tl)"[New Hampshire]	"Learning Time (tl)"[New Jersey]	"Learning Time (tl)"[New Mexico]	"Learning Time (tl)"[New York]	"Learning Time (tl)"[North Carolina]	"Learning Time (tl)"[North Dakota]	"Learning Time (tl)"[Ohio]	"Learning Time (tl)"[Oklahoma]	"Learning Time (tl)"[Oregon]	"Learning Time (tl)"[Pennsylvania]	"Learning Time (tl)"[Rhode Island]	"Learning Time (tl)"[South Carolina]	"Learning Time (tl)"[South Dakota]	"Learning Time (tl)"[Tennessee]	"Learning Time (tl)"[Texas]	"Learning Time (tl)"[Utah]	"Learning Time (tl)"[Vermont]	"Learning Time (tl)"[Virginia]	"Learning Time (tl)"[Washington]	"Learning Time (tl)"[West Virginia]	"Learning Time (tl)"[Wisconsin]	"Learning Time (tl)"[Wyoming]	"Mitigation Learning Decay Time (dl)"[Alabama]	"Mitigation Learning Decay Time (dl)"[Alaska]	"Mitigation Learning Decay Time (dl)"[Arizona]	"Mitigation Learning Decay Time (dl)"[Arkansas]	"Mitigation Learning Decay Time (dl)"[California]	"Mitigation Learning Decay Time (dl)"[Colorado]	"Mitigation Learning Decay Time (dl)"[Connecticut]	"Mitigation Learning Decay Time (dl)"[District of Columbia]	"Mitigation Learning Decay Time (dl)"[Delaware]	"Mitigation Learning Decay Time (dl)"[Florida]	"Mitigation Learning Decay Time (dl)"[Georgia]	"Mitigation Learning Decay Time (dl)"[Hawaii]	"Mitigation Learning Decay Time (dl)"[Idaho]	"Mitigation Learning Decay Time (dl)"[Illinois]	"Mitigation Learning Decay Time (dl)"[Indiana]	"Mitigation Learning Decay Time (dl)"[Iowa]	"Mitigation Learning Decay Time (dl)"[Kansas]	"Mitigation Learning Decay Time (dl)"[Kentucky]	"Mitigation Learning Decay Time (dl)"[Louisiana]	"Mitigation Learning Decay Time (dl)"[Maine]	"Mitigation Learning Decay Time (dl)"[Maryland]	"Mitigation Learning Decay Time (dl)"[Massachusetts]	"Mitigation Learning Decay Time (dl)"[Michigan]	"Mitigation Learning Decay Time (dl)"[Minnesota]	"Mitigation Learning Decay Time (dl)"[Mississippi]	"Mitigation Learning Decay Time (dl)"[Missouri]	"Mitigation Learning Decay Time (dl)"[Montana]	"Mitigation Learning Decay Time (dl)"[Nebraska]	"Mitigation Learning Decay Time (dl)"[Nevada]	"Mitigation Learning Decay Time (dl)"[New Hampshire]	"Mitigation Learning Decay Time (dl)"[New Jersey]	"Mitigation Learning Decay Time (dl)"[New Mexico]	"Mitigation Learning Decay Time (dl)"[New York]	"Mitigation Learning Decay Time (dl)"[North Carolina]	"Mitigation Learning Decay Time (dl)"[North Dakota]	"Mitigation Learning Decay Time (dl)"[Ohio]	"Mitigation Learning Decay Time (dl)"[Oklahoma]	"Mitigation Learning Decay Time (dl)"[Oregon]	"Mitigation Learning Decay Time (dl)"[Pennsylvania]	"Mitigation Learning Decay Time (dl)"[Rhode Island]	"Mitigation Learning Decay Time (dl)"[South Carolina]	"Mitigation Learning Decay Time (dl)"[South Dakota]	"Mitigation Learning Decay Time (dl)"[Tennessee]	"Mitigation Learning Decay Time (dl)"[Texas]	"Mitigation Learning Decay Time (dl)"[Utah]	"Mitigation Learning Decay Time (dl)"[Vermont]	"Mitigation Learning Decay Time (dl)"[Virginia]	"Mitigation Learning Decay Time (dl)"[Washington]	"Mitigation Learning Decay Time (dl)"[West Virginia]	"Mitigation Learning Decay Time (dl)"[Wisconsin]	"Mitigation Learning Decay Time (dl)"[Wyoming]	"Psychological Exponent (epsilon)"	"Psychological Scale (beta)"	"State CRN Proportion (alpha)"[Alabama]	"State CRN Proportion (alpha)"[Alaska]	"State CRN Proportion (alpha)"[Arizona]	"State CRN Proportion (alpha)"[Arkansas]	"State CRN Proportion (alpha)"[California]	"State CRN Proportion (alpha)"[Colorado]	"State CRN Proportion (alpha)"[Connecticut]	"State CRN Proportion (alpha)"[District of Columbia]	"State CRN Proportion (alpha)"[Delaware]	"State CRN Proportion (alpha)"[Florida]	"State CRN Proportion (alpha)"[Georgia]	"State CRN Proportion (alpha)"[Hawaii]	"State CRN Proportion (alpha)"[Idaho]	"State CRN Proportion (alpha)"[Illinois]	"State CRN Proportion (alpha)"[Indiana]	"State CRN Proportion (alpha)"[Iowa]	"State CRN Proportion (alpha)"[Kansas]	"State CRN Proportion (alpha)"[Kentucky]	"State CRN Proportion (alpha)"[Louisiana]	"State CRN Proportion (alpha)"[Maine]	"State CRN Proportion (alpha)"[Maryland]	"State CRN Proportion (alpha)"[Massachusetts]	"State CRN Proportion (alpha)"[Michigan]	"State CRN Proportion (alpha)"[Minnesota]	"State CRN Proportion (alpha)"[Mississippi]	"State CRN Proportion (alpha)"[Missouri]	"State CRN Proportion (alpha)"[Montana]	"State CRN Proportion (alpha)"[Nebraska]	"State CRN Proportion (alpha)"[Nevada]	"State CRN Proportion (alpha)"[New Hampshire]	"State CRN Proportion (alpha)"[New Jersey]	"State CRN Proportion (alpha)"[New Mexico]	"State CRN Proportion (alpha)"[New York]	"State CRN Proportion (alpha)"[North Carolina]	"State CRN Proportion (alpha)"[North Dakota]	"State CRN Proportion (alpha)"[Ohio]	"State CRN Proportion (alpha)"[Oklahoma]	"State CRN Proportion (alpha)"[Oregon]	"State CRN Proportion (alpha)"[Pennsylvania]	"State CRN Proportion (alpha)"[Rhode Island]	"State CRN Proportion (alpha)"[South Carolina]	"State CRN Proportion (alpha)"[South Dakota]	"State CRN Proportion (alpha)"[Tennessee]	"State CRN Proportion (alpha)"[Texas]	"State CRN Proportion (alpha)"[Utah]	"State CRN Proportion (alpha)"[Vermont]	"State CRN Proportion (alpha)"[Virginia]	"State CRN Proportion (alpha)"[Washington]	"State CRN Proportion (alpha)"[West Virginia]	"State CRN Proportion (alpha)"[Wisconsin]	"State CRN Proportion (alpha)"[Wyoming]	"Output Gap Decay Time (dy)"	PAYOFF	
0	BEST	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	         150	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	           1	           1	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	          60	         -4.6116e+07	
1	OK	     282.906	     284.405	     54.1688	     349.394	      11.182	     891.602	     800.109	      663.59	     257.953	     786.622	     716.885	     616.132	     13.7632	     766.391	     887.838	     532.676	     787.387	     114.042	     334.411	     860.055	     646.036	     877.725	     691.251	     812.698	     211.356	     776.677	     656.081	     876.906	     943.635	      255.42	     363.371	     532.945	     852.363	     438.163	     54.9157	     281.704	     958.319	     918.184	     277.476	     18.2186	      205.28	     35.5828	     239.078	     768.249	     633.843	     158.081	     168.935	     650.008	      624.75	     209.663	     751.328	     655.117	     759.648	     27.8843	     623.275	     188.059	     777.574	     60.5073	     581.743	     108.125	      484.16	     375.213	         914	     852.067	     612.293	     228.529	     414.124	     516.398	     487.476	     234.751	     449.793	     94.3555	      400.17	     982.579	     909.306	     860.334	     331.931	     129.426	     71.0384	     542.064	      542.69	     426.873	     380.112	     538.568	     380.521	     491.462	     455.293	     982.377	     133.136	     238.161	     279.736	     156.031	     449.857	      491.83	     910.232	      420.43	     961.727	      916.66	     512.212	     485.878	     154.006	     797.002	    0.471284	    0.778511	    0.963088	    0.988376	    0.436301	    0.802337	    0.940867	    0.805711	    0.250369	    0.433227	  0.00532469	   0.0207917	    0.996292	    0.504791	     0.29568	    0.374621	    0.153673	    0.166869	    0.312504	    0.116446	    0.729827	    0.447864	    0.213482	    0.599217	     0.75077	    0.781838	    0.600126	    0.323213	    0.541103	    0.396188	    0.281117	    0.506353	    0.365274	    0.194751	    0.409295	    0.677961	    0.743204	    0.283082	    0.731383	    0.342695	   0.0646824	    0.704258	    0.939153	     0.42028	    0.840586	    0.819931	    0.655108	    0.908044	    0.226334	    0.462872	    0.267122	     0.68446	    0.837529	     35.6054	        -3.45394e+07	
2	OK	     841.714	     56.2735	     473.408	     152.319	     404.421	      177.31	     263.665	     710.822	     740.999	     420.742	     997.403	     143.052	     590.452	     749.347	     319.524	     676.783	     551.777	     739.738	     906.944	      703.48	     671.558	     796.306	     520.708	     972.327	     546.672	     840.833	     632.792	     315.191	     289.703	     246.638	     333.769	     2.73483	     396.941	     671.742	     406.561	     617.307	     723.069	      623.35	     353.521	       63.78	      531.64	      310.17	     881.945	     818.161	     695.818	     111.004	     400.971	     47.5329	     84.7418	     503.684	     800.687	     135.671	     790.714	     129.302	      998.35	     368.755	     53.2502	     632.875	     652.948	     284.059	     730.395	     473.995	     641.904	     718.993	     455.708	     15.4619	     564.688	     304.606	     403.575	     723.011	     997.791	       738.1	     430.227	     483.526	     997.182	     615.052	     657.873	     997.179	     920.417	     173.778	     430.549	     900.705	     902.644	     310.208	     737.294	     676.996	     826.404	     352.165	     294.021	     945.999	     470.205	     247.266	     846.407	       640.4	     700.879	     807.319	     606.836	      915.92	     734.326	     373.425	      809.78	     745.728	    0.152535	    0.577407	   0.0578216	     0.10535	    0.315033	    0.265292	    0.344107	    0.013392	    0.562604	    0.638075	    0.425423	    0.812558	     0.43984	    0.237977	    0.174052	    0.310987	    0.169908	    0.196714	   0.0172342	    0.912655	    0.471488	    0.247871	    0.729604	    0.169694	    0.979234	    0.309607	    0.178488	    0.886432	    0.899985	    0.498448	    0.836053	    0.532737	    0.318938	    0.532679	    0.854558	    0.156732	    0.655907	    0.967798	    0.879478	    0.870845	    0.272817	    0.539013	      0.2323	    0.382112	    0.346917	    0.621143	    0.553575	    0.987106	    0.299767	    0.165344	    0.144575	    0.437642	    0.195465	     79.9748	        -6.09056e+07	
