Start	Message	"Learning Time (tl)"[Alabama]	"Learning Time (tl)"[Alaska]	"Learning Time (tl)"[Arizona]	"Learning Time (tl)"[Arkansas]	"Learning Time (tl)"[California]	"Learning Time (tl)"[Colorado]	"Learning Time (tl)"[Connecticut]	"Learning Time (tl)"[District of Columbia]	"Learning Time (tl)"[Delaware]	"Learning Time (tl)"[Florida]	"Learning Time (tl)"[Georgia]	"Learning Time (tl)"[Hawaii]	"Learning Time (tl)"[Idaho]	"Learning Time (tl)"[Illinois]	"Learning Time (tl)"[Indiana]	"Learning Time (tl)"[Iowa]	"Learning Time (tl)"[Kansas]	"Learning Time (tl)"[Kentucky]	"Learning Time (tl)"[Louisiana]	"Learning Time (tl)"[Maine]	"Learning Time (tl)"[Maryland]	"Learning Time (tl)"[Massachusetts]	"Learning Time (tl)"[Michigan]	"Learning Time (tl)"[Minnesota]	"Learning Time (tl)"[Mississippi]	"Learning Time (tl)"[Missouri]	"Learning Time (tl)"[Montana]	"Learning Time (tl)"[Nebraska]	"Learning Time (tl)"[Nevada]	"Learning Time (tl)"[New Hampshire]	"Learning Time (tl)"[New Jersey]	"Learning Time (tl)"[New Mexico]	"Learning Time (tl)"[New York]	"Learning Time (tl)"[North Carolina]	"Learning Time (tl)"[North Dakota]	"Learning Time (tl)"[Ohio]	"Learning Time (tl)"[Oklahoma]	"Learning Time (tl)"[Oregon]	"Learning Time (tl)"[Pennsylvania]	"Learning Time (tl)"[Rhode Island]	"Learning Time (tl)"[South Carolina]	"Learning Time (tl)"[South Dakota]	"Learning Time (tl)"[Tennessee]	"Learning Time (tl)"[Texas]	"Learning Time (tl)"[Utah]	"Learning Time (tl)"[Vermont]	"Learning Time (tl)"[Virginia]	"Learning Time (tl)"[Washington]	"Learning Time (tl)"[West Virginia]	"Learning Time (tl)"[Wisconsin]	"Learning Time (tl)"[Wyoming]	"Mitigation Learning Decay Time (dl)"[Alabama]	"Mitigation Learning Decay Time (dl)"[Alaska]	"Mitigation Learning Decay Time (dl)"[Arizona]	"Mitigation Learning Decay Time (dl)"[Arkansas]	"Mitigation Learning Decay Time (dl)"[California]	"Mitigation Learning Decay Time (dl)"[Colorado]	"Mitigation Learning Decay Time (dl)"[Connecticut]	"Mitigation Learning Decay Time (dl)"[District of Columbia]	"Mitigation Learning Decay Time (dl)"[Delaware]	"Mitigation Learning Decay Time (dl)"[Florida]	"Mitigation Learning Decay Time (dl)"[Georgia]	"Mitigation Learning Decay Time (dl)"[Hawaii]	"Mitigation Learning Decay Time (dl)"[Idaho]	"Mitigation Learning Decay Time (dl)"[Illinois]	"Mitigation Learning Decay Time (dl)"[Indiana]	"Mitigation Learning Decay Time (dl)"[Iowa]	"Mitigation Learning Decay Time (dl)"[Kansas]	"Mitigation Learning Decay Time (dl)"[Kentucky]	"Mitigation Learning Decay Time (dl)"[Louisiana]	"Mitigation Learning Decay Time (dl)"[Maine]	"Mitigation Learning Decay Time (dl)"[Maryland]	"Mitigation Learning Decay Time (dl)"[Massachusetts]	"Mitigation Learning Decay Time (dl)"[Michigan]	"Mitigation Learning Decay Time (dl)"[Minnesota]	"Mitigation Learning Decay Time (dl)"[Mississippi]	"Mitigation Learning Decay Time (dl)"[Missouri]	"Mitigation Learning Decay Time (dl)"[Montana]	"Mitigation Learning Decay Time (dl)"[Nebraska]	"Mitigation Learning Decay Time (dl)"[Nevada]	"Mitigation Learning Decay Time (dl)"[New Hampshire]	"Mitigation Learning Decay Time (dl)"[New Jersey]	"Mitigation Learning Decay Time (dl)"[New Mexico]	"Mitigation Learning Decay Time (dl)"[New York]	"Mitigation Learning Decay Time (dl)"[North Carolina]	"Mitigation Learning Decay Time (dl)"[North Dakota]	"Mitigation Learning Decay Time (dl)"[Ohio]	"Mitigation Learning Decay Time (dl)"[Oklahoma]	"Mitigation Learning Decay Time (dl)"[Oregon]	"Mitigation Learning Decay Time (dl)"[Pennsylvania]	"Mitigation Learning Decay Time (dl)"[Rhode Island]	"Mitigation Learning Decay Time (dl)"[South Carolina]	"Mitigation Learning Decay Time (dl)"[South Dakota]	"Mitigation Learning Decay Time (dl)"[Tennessee]	"Mitigation Learning Decay Time (dl)"[Texas]	"Mitigation Learning Decay Time (dl)"[Utah]	"Mitigation Learning Decay Time (dl)"[Vermont]	"Mitigation Learning Decay Time (dl)"[Virginia]	"Mitigation Learning Decay Time (dl)"[Washington]	"Mitigation Learning Decay Time (dl)"[West Virginia]	"Mitigation Learning Decay Time (dl)"[Wisconsin]	"Mitigation Learning Decay Time (dl)"[Wyoming]	"Psychological Exponent (epsilon)"	"Psychological Scale (beta)"	"State CRN Proportion (alpha)"[Alabama]	"State CRN Proportion (alpha)"[Alaska]	"State CRN Proportion (alpha)"[Arizona]	"State CRN Proportion (alpha)"[Arkansas]	"State CRN Proportion (alpha)"[California]	"State CRN Proportion (alpha)"[Colorado]	"State CRN Proportion (alpha)"[Connecticut]	"State CRN Proportion (alpha)"[District of Columbia]	"State CRN Proportion (alpha)"[Delaware]	"State CRN Proportion (alpha)"[Florida]	"State CRN Proportion (alpha)"[Georgia]	"State CRN Proportion (alpha)"[Hawaii]	"State CRN Proportion (alpha)"[Idaho]	"State CRN Proportion (alpha)"[Illinois]	"State CRN Proportion (alpha)"[Indiana]	"State CRN Proportion (alpha)"[Iowa]	"State CRN Proportion (alpha)"[Kansas]	"State CRN Proportion (alpha)"[Kentucky]	"State CRN Proportion (alpha)"[Louisiana]	"State CRN Proportion (alpha)"[Maine]	"State CRN Proportion (alpha)"[Maryland]	"State CRN Proportion (alpha)"[Massachusetts]	"State CRN Proportion (alpha)"[Michigan]	"State CRN Proportion (alpha)"[Minnesota]	"State CRN Proportion (alpha)"[Mississippi]	"State CRN Proportion (alpha)"[Missouri]	"State CRN Proportion (alpha)"[Montana]	"State CRN Proportion (alpha)"[Nebraska]	"State CRN Proportion (alpha)"[Nevada]	"State CRN Proportion (alpha)"[New Hampshire]	"State CRN Proportion (alpha)"[New Jersey]	"State CRN Proportion (alpha)"[New Mexico]	"State CRN Proportion (alpha)"[New York]	"State CRN Proportion (alpha)"[North Carolina]	"State CRN Proportion (alpha)"[North Dakota]	"State CRN Proportion (alpha)"[Ohio]	"State CRN Proportion (alpha)"[Oklahoma]	"State CRN Proportion (alpha)"[Oregon]	"State CRN Proportion (alpha)"[Pennsylvania]	"State CRN Proportion (alpha)"[Rhode Island]	"State CRN Proportion (alpha)"[South Carolina]	"State CRN Proportion (alpha)"[South Dakota]	"State CRN Proportion (alpha)"[Tennessee]	"State CRN Proportion (alpha)"[Texas]	"State CRN Proportion (alpha)"[Utah]	"State CRN Proportion (alpha)"[Vermont]	"State CRN Proportion (alpha)"[Virginia]	"State CRN Proportion (alpha)"[Washington]	"State CRN Proportion (alpha)"[West Virginia]	"State CRN Proportion (alpha)"[Wisconsin]	"State CRN Proportion (alpha)"[Wyoming]	"Output Gap Decay Time (dy)"	PAYOFF	Simulations
0	BEST	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	           1	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	        1000	           1	           0	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	         0.5	     1.73344	        -6.47901e+06	2429
1	BEST	        1000	           1	     3.18166	           1	        1000	        1000	        1000	     15.3106	        1000	        1000	        1000	        1000	     63.3215	        1000	           1	           1	           1	           1	        1000	           1	        1000	        1000	        1000	        1000	           1	           1	           1	           1	        1000	           1	        1000	        1000	        1000	        1000	     2.71917	     15.3639	        1000	        1000	        1000	           1	      449.25	           1	     336.361	        1000	        1000	     262.419	        1000	        1000	           1	        1000	     321.508	           1	        1000	     3.54803	        1000	           1	           1	           1	      1.5059	      14.088	           1	           1	           1	     32.6945	           1	        1000	        1000	        1000	        1000	           1	     9.01666	           1	           1	        1000	           1	        1000	     2.35813	        1000	        1000	           1	        1000	           1	           1	           1	        1000	           1	           1	           1	           1	           1	        1000	        1000	        1000	        1000	           1	           1	     999.737	           1	           1	           1	           1	     60.2165	 5.68128e-05	           1	           1	           1	           0	           1	           1	           1	           1	           0	           0	           0	           1	           1	           1	           1	    0.999708	           1	           0	           0	           1	           0	           1	           0	           1	           0	           1	           0	           0	           0	           1	           0	           0	           0	           1	           0	           1	           1	           1	           1	           0	           0	           0	           1	           0	           1	           1	           1	           1	 5.55112e-17	           1	           0	           0	     1.77336	        -6.07728e+06	13343
2	OK	        1000	           1	     2.70928	           1	        1000	        1000	        1000	     11.4679	     118.641	        1000	        1000	        1000	     999.781	        1000	           1	           1	           1	           1	        1000	           1	        1000	        1000	        1000	        1000	           1	     543.208	           1	           1	        1000	           1	        1000	        1000	        1000	        1000	     368.147	     25.5451	        1000	        1000	        1000	           1	     458.702	           1	      336.34	        1000	        1000	     1.99313	        1000	        1000	     1.06947	        1000	     320.654	           1	        1000	     2.78594	        1000	           1	           1	           1	           1	           1	           1	           1	           1	     984.283	           1	        1000	        1000	        1000	        1000	           1	     8.96614	           1	           1	        1000	           1	        1000	        1000	        1000	        1000	           1	        1000	           1	           1	           1	           1	     105.055	           1	           1	           1	           1	        1000	        1000	        1000	        1000	           1	           1	     5.71464	           1	           1	           1	           1	     57.8934	 0.000262514	           1	           1	           0	           1	           0	           1	           1	           1	           0	           0	           1	           1	           0	           1	           0	    0.999768	           1	           1	           0	           1	           0	           1	           0	           1	           0	           0	 1.11022e-16	           0	           0	           1	           0	           0	           1	           1	           0	           1	           1	           1	           1	           1	           0	           0	           1	           0	           1	           1	           1	           1	           0	           1	           0	           0	     1.76558	        -6.07989e+06	23451
