Time,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW
,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
10,0.867256,1.04115,1.03838,0.82136,0.871207,0.835673,0.947768,0.906834,0.893899,0.88952,0.756408,0.858967,0.785665,0.801745,0.938673,0.919247,0.909685,0.908401,0.902469,0.900778,0.850056,0.923544,0.900353,0.903648,0.933259,0.939807,0.860729,0.906603,0.98298,0.921636,0.868995,0.923579,0.898815,0.877251,0.912126,0.873521,0.956992,0.776783,0.912158,0.89891,0.930869,0.915269,0.782976,0.908474,0.855988,0.942148,0.880237,0.852958,0.942911,0.92172,0.860177,0.887317,0.98974,0.912007,0.93821,0.98234
11,0.873654,1.04631,1.02434,0.828777,0.876035,0.840778,0.956279,0.903809,0.887601,0.890228,0.75532,0.863401,0.785594,0.796048,0.947406,0.928195,0.913821,0.915709,0.909333,0.904868,0.853567,0.92527,0.898825,0.902766,0.93804,0.947394,0.86408,0.911594,0.991887,0.929553,0.873487,0.921593,0.893341,0.884836,0.908969,0.873071,0.963993,0.776315,0.912298,0.904447,0.935043,0.916001,0.78238,0.908997,0.857703,0.948979,0.885367,0.85529,0.952821,0.92101,0.857259,0.886862,0.99326,0.914908,0.945121,0.991981
12,0.877057,1.05223,1.02401,0.832226,0.879961,0.840444,0.965019,0.903459,0.8963,0.896869,0.756976,0.866285,0.785196,0.792877,0.953865,0.935162,0.91976,0.923253,0.914823,0.908715,0.857143,0.926408,0.904849,0.897413,0.942639,0.951578,0.867103,0.916792,1.00018,0.935948,0.876618,0.914931,0.895727,0.890952,0.910057,0.8761,0.97044,0.77462,0.916035,0.908764,0.934927,0.921448,0.781195,0.904535,0.860224,0.9547,0.888448,0.858354,0.959076,0.920264,0.861954,0.891769,0.993577,0.917418,0.951618,1.00154
13,0.87999,1.05561,1.02582,0.835369,0.884631,0.840944,0.973569,0.905156,0.897436,0.896085,0.755342,0.870239,0.781064,0.790956,0.957456,0.938626,0.92484,0.92743,0.919686,0.912533,0.860651,0.930754,0.905052,0.899908,0.948058,0.956567,0.87003,0.920962,1.00407,0.942978,0.87722,0.91814,0.896762,0.896994,0.912021,0.878154,0.978197,0.773162,0.922054,0.91281,0.934186,0.923451,0.783534,0.906008,0.861873,0.960909,0.891051,0.861798,0.962017,0.923562,0.859779,0.892566,0.992656,0.921033,0.956441,1.00795
14,0.884329,1.05954,1.04771,0.83778,0.888915,0.842207,0.977189,0.909191,0.901686,0.901037,0.755583,0.866742,0.7761,0.789602,0.951165,0.943812,0.928554,0.931854,0.923353,0.916798,0.864913,0.93404,0.910091,0.903495,0.951996,0.962133,0.874646,0.925719,1.00648,0.944763,0.876969,0.922527,0.900918,0.898989,0.916298,0.880273,0.98299,0.769772,0.925268,0.918192,0.909235,0.928079,0.785376,0.909472,0.857692,0.967211,0.895253,0.865857,0.961552,0.927525,0.857408,0.896604,0.984985,0.924933,0.961706,1.0111
15,0.889302,1.06365,1.05178,0.83888,0.894296,0.842596,0.976072,0.914282,0.893894,0.901574,0.76047,0.87109,0.772152,0.785235,0.949472,0.949649,0.934004,0.934874,0.924087,0.923674,0.868616,0.939407,0.912658,0.908967,0.957191,0.967538,0.878925,0.929256,1.00741,0.94474,0.879341,0.928498,0.901624,0.898027,0.918952,0.866002,0.987731,0.774827,0.93175,0.919923,0.907738,0.933859,0.787583,0.914417,0.856892,0.964415,0.901623,0.868745,0.955233,0.933378,0.857634,0.889553,0.981474,0.929941,0.966814,1.0092
16,0.891668,1.06997,1.07475,0.839086,0.894087,0.844824,0.976022,0.919605,0.898528,0.905193,0.764444,0.873718,0.766417,0.782166,0.947343,0.952619,0.936629,0.931425,0.925473,0.924955,0.87154,0.945661,0.91657,0.915557,0.959235,0.958862,0.880064,0.930644,1.00795,0.946466,0.87976,0.936255,0.906171,0.896597,0.925124,0.869074,0.977962,0.774725,0.934058,0.92221,0.906688,0.939321,0.786403,0.918946,0.859909,0.960777,0.900878,0.867085,0.952344,0.941102,0.856624,0.893925,0.965052,0.935781,0.965367,1.0103
17,0.893601,1.07106,1.08754,0.841025,0.895007,0.846488,0.978641,0.925455,0.905072,0.91193,0.766855,0.875035,0.7645,0.780429,0.947723,0.953464,0.93997,0.935764,0.925819,0.928512,0.87271,0.951742,0.923211,0.922163,0.96318,0.966547,0.882716,0.932379,1.01137,0.950091,0.881281,0.942269,0.911191,0.902153,0.93056,0.873994,0.987465,0.758412,0.937684,0.922929,0.908502,0.945965,0.785156,0.92558,0.862096,0.968655,0.902922,0.86663,0.953918,0.947143,0.855769,0.900314,0.966012,0.942826,0.970715,1.01223
18,0.894309,1.06547,1.1039,0.842395,0.90663,0.849565,0.978308,0.92982,0.910325,0.917686,0.764225,0.876138,0.77207,0.779681,0.947815,0.962378,0.94555,0.943196,0.933208,0.935249,0.871171,0.945495,0.928438,0.928052,0.968972,0.97592,0.883957,0.938849,1.01285,0.958657,0.880106,0.943466,0.915195,0.905118,0.935582,0.876701,0.995404,0.763361,0.942404,0.930111,0.911363,0.951593,0.782468,0.9314,0.863682,0.971888,0.908751,0.872858,0.953675,0.949627,0.853774,0.904948,0.966608,0.94955,0.978323,1.01317
19,0.897561,1.06366,1.10514,0.84154,0.910094,0.849793,0.97662,0.937451,0.917862,0.924538,0.76583,0.87975,0.771473,0.781937,0.947972,0.97156,0.952448,0.951172,0.937007,0.941638,0.872609,0.951038,0.936386,0.935562,0.97608,0.981436,0.887334,0.945348,1.01378,0.963291,0.873743,0.949674,0.923169,0.902227,0.942937,0.885266,0.9998,0.767717,0.948115,0.929485,0.911826,0.958231,0.779895,0.938881,0.871985,0.976652,0.915586,0.872467,0.952958,0.956107,0.845805,0.912693,0.967408,0.956063,0.985831,1.01511
20,0.895914,1.06387,1.11911,0.836098,0.912184,0.849919,0.973072,0.944359,0.92485,0.930663,0.774129,0.883271,0.768862,0.782538,0.94795,0.975637,0.960574,0.952349,0.935893,0.949132,0.86018,0.958501,0.943555,0.942536,0.980908,0.982007,0.88017,0.950615,1.01428,0.962557,0.86859,0.957344,0.928693,0.901195,0.949137,0.89179,1.00596,0.763022,0.956166,0.922617,0.911921,0.965237,0.777213,0.946041,0.878615,0.975721,0.918327,0.86551,0.952583,0.963921,0.843077,0.919139,0.965406,0.962534,0.986995,1.01519
21,0.897285,1.06266,1.12234,0.834862,0.912486,0.852627,0.973727,0.949371,0.930599,0.938874,0.782619,0.88778,0.768369,0.782156,0.943787,0.96925,0.953018,0.956123,0.93647,0.946164,0.858954,0.963882,0.95074,0.948714,0.975816,0.990137,0.877278,0.945499,1.01461,0.966033,0.869843,0.96395,0.933905,0.9009,0.955015,0.897732,1.0174,0.758431,0.95325,0.922304,0.908845,0.97024,0.777507,0.951466,0.88303,0.984044,0.917816,0.866888,0.952199,0.971201,0.844804,0.926681,0.961425,0.969074,0.988282,1.01722
22,0.901979,1.06004,1.11987,0.831663,0.925148,0.848055,0.977768,0.93794,0.930927,0.939635,0.790284,0.891617,0.767777,0.781041,0.941487,0.98095,0.963722,0.974332,0.949684,0.953457,0.862612,0.964044,0.946108,0.939198,0.986046,1.00282,0.884753,0.957677,1.01666,0.982415,0.867406,0.957831,0.924983,0.902545,0.949053,0.903687,1.02534,0.754395,0.958337,0.932237,0.906084,0.964659,0.777497,0.934166,0.889482,0.99323,0.927123,0.871559,0.94663,0.973368,0.843953,0.927462,0.961013,0.967092,0.997043,1.02006
23,0.916187,1.05772,1.10225,0.825893,0.938786,0.843805,0.976937,0.949816,0.944629,0.94938,0.793401,0.903173,0.765066,0.777958,0.940694,0.995608,0.977575,0.985384,0.959465,0.966958,0.872582,0.974408,0.956482,0.94921,0.996478,1.01134,0.897785,0.971381,1.01053,0.991209,0.856083,0.96828,0.937932,0.901448,0.961447,0.92133,1.02936,0.750105,0.971875,0.944008,0.906418,0.976464,0.777366,0.944242,0.902113,0.999042,0.94156,0.883867,0.943843,0.988205,0.83443,0.94059,0.961509,0.979561,1.00887,1.01939
